label,test,train,val
B-ambienteSedimentacao,0.0022294324899974124,0.00012565971349585322,0.0010613150658497757
B-baciaSedimentar,0.006111033700260764,0.0018534807740638352,0.0032321867914515898
B-bentonico,0.0005374524752672333,0.0,0.0
B-campoPetrolifero,9.952823616059877e-05,1.0471642791321103e-05,0.0
B-constituinteRochaSedimentar,0.0011147162449987062,0.0003141492837396331,0.0012542814414588258
B-contextoGeologicoDeBacia,0.00640961840874256,0.002722627125743487,0.0037628443243764775
B-elementoQuimico,0.0003383960029460358,6.282985674792661e-05,0.0001447247817067876
B-eon,0.0015526404841053408,0.0012775404205411746,0.0027015292585267016
B-epoca,0.004458864979994825,0.0037069615481276704,0.005210092141444353
B-era,0.0024483946095507293,0.0021885733433861104,0.003955810699985528
B-estratigrafia,0.002249338137229532,0.001026220993549468,0.0017366973804814512
B-estruturaGeologica,0.0013933953062483827,3.1414928373963304e-05,0.00024120796951131266
B-estruturaSedimentar,0.0014730178951768617,4.188657116528441e-05,0.0002894495634135752
B-fosseis,0.0019109421342834963,0.00015707464186981654,0.0010130734719475132
B-geomorfologia,0.0005175468280351136,0.00010471642791321103,0.0008683486902407256
B-granulometria,0.0017118856619622988,0.00018848957024377984,0.0012060398475565632
B-idade,0.006349901467046201,0.003602245120214459,0.006416131989000917
B-magmaticas,0.004916694866333579,0.002764513696908771,0.0032321867914515898
B-metamorficas,0.0035033939128530766,0.0015707464186981654,0.002460321289015389
B-mineral,0.0019905647232119753,0.0008586747088883304,0.0014472478170678758
B-periodo,0.004120468977048789,0.0039582809751193765,0.0060784408316850785
B-planctonico,0.0009753767143738679,0.0004607522828181285,0.0008683486902407256
B-procedimentoMetodologico,0.0012142444811593048,0.0008586747088883304,0.0011095566597520382
B-sedimentaresCarbonaticas,0.0036029221490136753,0.0012880120633324956,0.002460321289015389
B-sedimentaresOrganicas,0.00035830165017815556,3.1414928373963304e-05,4.824159390226253e-05
B-sedimentaresQuimicas,0.0002189621195533173,0.0,4.824159390226253e-05
B-sedimentaresSiliciclasticas,0.011565181041861576,0.0038221496188322024,0.007332722273143905
B-sistemaPetrolifero,0.0006966976531241914,0.000303677640948312,0.0013990062231656133
B-unidadeEstratigrafica,0.010709238210880427,0.001434615062410991,0.00419701866949684
B-unidadeGeotectonica,0.0004976411808029938,1.0471642791321103e-05,9.648318780452506e-05
I-ambienteSedimentacao,0.0017516969564265383,2.0943285582642206e-05,0.0005306575329248878
I-baciaSedimentar,0.007703485478830344,0.0007539582809751194,0.002556804476819914
I-bentonico,0.00015924517785695803,0.0,0.0
I-campoPetrolifero,0.00011943388339271852,0.0,0.0
I-constituinteRochaSedimentar,0.0003383960029460358,0.0,0.0002894495634135752
I-contextoGeologicoDeBacia,0.005772637697314728,0.000607355281896624,0.0015919725987746634
I-epoca,0.0014332066007126222,0.0006178269246879451,0.0019296637560905013
I-era,0.00011943388339271852,4.188657116528441e-05,4.824159390226253e-05
I-estratigrafia,0.0005573581224993531,7.330149953924772e-05,0.0
I-estruturaGeologica,0.0026673567291040467,4.188657116528441e-05,0.0003859327512181002
I-estruturaSedimentar,0.0017516969564265383,2.0943285582642206e-05,0.0002894495634135752
I-fosseis,0.0009753767143738679,0.0,0.00024120796951131266
I-granulometria,0.0002587734140175568,1.0471642791321103e-05,9.648318780452506e-05
I-idade,0.00017915082508907778,3.1414928373963304e-05,0.0002894495634135752
I-magmaticas,0.0002587734140175568,5.2358213956605514e-05,0.0001929663756090501
I-metamorficas,0.0005573581224993531,0.00016754628466113765,0.0006271407207294129
I-mineral,3.981129446423951e-05,0.0,0.0
I-periodo,0.00015924517785695803,1.0471642791321103e-05,0.0
I-planctonico,9.952823616059877e-05,2.0943285582642206e-05,0.0001447247817067876
I-procedimentoMetodologico,9.952823616059877e-05,0.0,9.648318780452506e-05
I-sedimentaresCarbonaticas,0.0014133009534805024,0.00012565971349585322,0.0006753823146316754
I-sedimentaresQuimicas,0.00017915082508907778,0.0,0.0
I-sedimentaresSiliciclasticas,0.004458864979994825,0.0003350925693222753,0.0008683486902407256
I-sistemaPetrolifero,0.00035830165017815556,0.00012565971349585322,0.0009648318780452506
I-unidadeEstratigrafica,0.013456217528912953,0.00132989863449778,0.0049688841719330405
I-unidadeGeotectonica,0.0005573581224993531,1.0471642791321103e-05,9.648318780452506e-05
O,0.8692995202739017,0.9608255843176677,0.9192435718076125
