split,label,count,prop
train,B-ambienteSedimentacao,130,0.0010871746838830535
train,I-sedimentaresCarbonaticas,83,0.0006941192212484111
train,B-sedimentaresQuimicas,11,9.199170402087375e-05
train,B-sedimentaresCarbonaticas,301,0.0025172275372984543
train,B-era,232,0.0019401886666220646
train,I-estratigrafia,25,0.0002090720545928949
train,B-estruturaSedimentar,71,0.0005937646350438216
train,I-metamorficas,32,0.0002676122298789055
train,I-sistemaPetrolifero,21,0.0001756205258580317
train,B-epoca,538,0.004499230614839098
train,B-planctonico,107,0.0008948283936575901
train,B-magmaticas,354,0.002960460293035392
train,I-sedimentaresQuimicas,9,7.526593965344216e-05
train,I-unidadeGeotectonica,30,0.0002508864655114739
train,I-estruturaSedimentar,80,0.0006690305746972637
train,I-mineral,2,1.6725764367431593e-05
train,I-sedimentaresSiliciclasticas,184,0.0015387703218037064
train,B-campoPetrolifero,5,4.181441091857898e-05
train,B-elementoQuimico,22,0.0001839834080417475
train,I-campoPetrolifero,6,5.017729310229477e-05
train,I-procedimentoMetodologico,7,5.854017528601057e-05
train,I-baciaSedimentar,444,0.0037131196895698135
train,I-estruturaGeologica,112,0.0009366428045761692
train,B-baciaSedimentar,466,0.003897103097611561
train,B-contextoGeologicoDeBacia,588,0.004917374724024888
train,O,110455,0.9237221516023282
train,B-eon,115,0.0009617314511273166
train,I-bentonico,6,5.017729310229477e-05
train,B-procedimentoMetodologico,115,0.0009617314511273166
train,B-granulometria,65,0.0005435873419415267
train,I-granulometria,9,7.526593965344216e-05
train,I-constituinteRochaSedimentar,21,0.0001756205258580317
train,B-sedimentaresOrganicas,17,0.00014216899712316854
train,I-periodo,9,7.526593965344216e-05
train,B-fosseis,123,0.0010286345085970428
train,I-idade,15,0.00012544323275573695
train,B-sedimentaresSiliciclasticas,898,0.007509868200976785
train,B-geomorfologia,39,0.000326152405164916
train,B-metamorficas,265,0.002216163778684686
train,B-unidadeEstratigrafica,587,0.004909011841841172
train,I-unidadeEstratigrafica,682,0.005703485649294173
train,B-sistemaPetrolifero,30,0.0002508864655114739
train,B-constituinteRochaSedimentar,98,0.000819562454004148
train,B-idade,688,0.005753662942396468
train,B-bentonico,25,0.0002090720545928949
train,I-ambienteSedimentacao,91,0.0007610222787181374
train,B-unidadeGeotectonica,27,0.0002257978189603265
train,B-estruturaGeologica,58,0.00048504716665551616
train,I-magmaticas,4,3.3451528734863186e-05
train,I-fosseis,52,0.0004348698735532214
train,I-era,8,6.690305746972637e-05
train,B-mineral,95,0.0007944738074530006
train,I-epoca,132,0.001103900448250485
train,B-estratigrafia,190,0.0015889476149060012
train,B-periodo,428,0.0035793135746303604
train,I-contextoGeologicoDeBacia,360,0.0030106375861376866
train,I-planctonico,9,7.526593965344216e-05
val,B-ambienteSedimentacao,12,0.0007270083605961468
val,I-sedimentaresCarbonaticas,10,0.0006058403004967891
val,B-sedimentaresQuimicas,1,6.0584030049678906e-05
val,B-sedimentaresCarbonaticas,38,0.0023021931418877985
val,B-era,9,0.0005452562704471102
val,I-estratigrafia,10,0.0006058403004967891
val,B-estruturaSedimentar,10,0.0006058403004967891
val,I-metamorficas,8,0.00048467224039743125
val,I-sistemaPetrolifero,0,0.0
val,B-epoca,48,0.0029080334423845873
val,B-planctonico,0,0.0
val,B-magmaticas,100,0.00605840300496789
val,I-sedimentaresQuimicas,0,0.0
val,I-unidadeGeotectonica,0,0.0
val,I-estruturaSedimentar,11,0.0006664243305464679
val,I-mineral,0,0.0
val,I-sedimentaresSiliciclasticas,86,0.005210226584272386
val,B-campoPetrolifero,0,0.0
val,B-elementoQuimico,2,0.00012116806009935781
val,I-campoPetrolifero,0,0.0
val,I-procedimentoMetodologico,0,0.0
val,I-baciaSedimentar,48,0.0029080334423845873
val,I-estruturaGeologica,6,0.0003635041802980734
val,B-baciaSedimentar,47,0.0028474494123349086
val,B-contextoGeologicoDeBacia,51,0.0030897855325336242
val,O,15140,0.9172422149521386
val,B-eon,7,0.00042408821034775233
val,I-bentonico,0,0.0
val,B-procedimentoMetodologico,13,0.0007875923906458257
val,B-granulometria,62,0.003756209863080092
val,I-granulometria,7,0.00042408821034775233
val,I-constituinteRochaSedimentar,1,6.0584030049678906e-05
val,B-sedimentaresOrganicas,1,6.0584030049678906e-05
val,I-periodo,0,0.0
val,B-fosseis,7,0.00042408821034775233
val,I-idade,3,0.0001817520901490367
val,B-sedimentaresSiliciclasticas,156,0.009451108687749909
val,B-geomorfologia,6,0.0003635041802980734
val,B-metamorficas,47,0.0028474494123349086
val,B-unidadeEstratigrafica,140,0.008481764206955046
val,I-unidadeEstratigrafica,181,0.010965709438991882
val,B-sistemaPetrolifero,1,6.0584030049678906e-05
val,B-constituinteRochaSedimentar,13,0.0007875923906458257
val,B-idade,23,0.0013934326911426147
val,B-bentonico,0,0.0
val,I-ambienteSedimentacao,6,0.0003635041802980734
val,B-unidadeGeotectonica,0,0.0
val,B-estruturaGeologica,5,0.00030292015024839454
val,I-magmaticas,8,0.00048467224039743125
val,I-fosseis,2,0.00012116806009935781
val,I-era,0,0.0
val,B-mineral,64,0.00387737792317945
val,I-epoca,17,0.0010299285108445414
val,B-estratigrafia,47,0.0028474494123349086
val,B-periodo,34,0.002059857021689083
val,I-contextoGeologicoDeBacia,18,0.0010905125408942203
val,I-planctonico,0,0.0
test,B-ambienteSedimentacao,4,0.00013166556945358788
test,I-sedimentaresCarbonaticas,4,0.00013166556945358788
test,B-sedimentaresQuimicas,0,0.0
test,B-sedimentaresCarbonaticas,16,0.0005266622778143515
test,B-era,173,0.005694535878867676
test,I-estratigrafia,0,0.0
test,B-estruturaSedimentar,3,9.874917709019091e-05
test,I-metamorficas,17,0.0005595786701777485
test,I-sistemaPetrolifero,29,0.0009545753785385122
test,B-epoca,100,0.0032916392363396972
test,B-planctonico,4,0.00013166556945358788
test,B-magmaticas,124,0.004081632653061225
test,I-sedimentaresQuimicas,0,0.0
test,I-unidadeGeotectonica,1,3.291639236339697e-05
test,I-estruturaSedimentar,5,0.00016458196181698485
test,I-mineral,0,0.0
test,I-sedimentaresSiliciclasticas,4,0.00013166556945358788
test,B-campoPetrolifero,1,3.291639236339697e-05
test,B-elementoQuimico,2,6.583278472679394e-05
test,I-campoPetrolifero,0,0.0
test,I-procedimentoMetodologico,0,0.0
test,I-baciaSedimentar,20,0.0006583278472679394
test,I-estruturaGeologica,28,0.0009216589861751152
test,B-baciaSedimentar,38,0.001250822909809085
test,B-contextoGeologicoDeBacia,21,0.0006912442396313364
test,O,28886,0.9508229098090849
test,B-eon,134,0.004410796576695194
test,I-bentonico,2,6.583278472679394e-05
test,B-procedimentoMetodologico,38,0.001250822909809085
test,B-granulometria,2,6.583278472679394e-05
test,I-granulometria,0,0.0
test,I-constituinteRochaSedimentar,1,3.291639236339697e-05
test,B-sedimentaresOrganicas,4,0.00013166556945358788
test,I-periodo,0,0.0
test,B-fosseis,2,6.583278472679394e-05
test,I-idade,0,0.0
test,B-sedimentaresSiliciclasticas,44,0.0014483212639894668
test,B-geomorfologia,9,0.00029624753127057275
test,B-metamorficas,65,0.002139565503620803
test,B-unidadeEstratigrafica,35,0.001152073732718894
test,I-unidadeEstratigrafica,43,0.0014154048716260698
test,B-sistemaPetrolifero,62,0.0020408163265306124
test,B-constituinteRochaSedimentar,1,3.291639236339697e-05
test,B-idade,85,0.0027978933508887426
test,B-bentonico,2,6.583278472679394e-05
