label,test,train,val
B-ambienteSedimentacao,4,130,12
B-baciaSedimentar,38,466,47
B-bentonico,2,25,0
B-campoPetrolifero,1,5,0
B-constituinteRochaSedimentar,1,98,13
B-contextoGeologicoDeBacia,21,588,51
B-elementoQuimico,2,22,2
B-eon,134,115,7
B-epoca,100,538,48
B-era,173,232,9
B-estratigrafia,10,190,47
B-estruturaGeologica,15,58,5
B-estruturaSedimentar,3,71,10
B-fosseis,2,123,7
B-geomorfologia,9,39,6
B-granulometria,2,65,62
B-idade,85,688,23
B-magmaticas,124,354,100
B-metamorficas,65,265,47
B-mineral,53,95,64
B-periodo,249,428,34
B-planctonico,4,107,0
B-procedimentoMetodologico,38,115,13
B-sedimentaresCarbonaticas,16,301,38
B-sedimentaresOrganicas,4,17,1
B-sedimentaresQuimicas,0,11,1
B-sedimentaresSiliciclasticas,44,898,156
B-sistemaPetrolifero,62,30,1
B-unidadeEstratigrafica,35,587,140
B-unidadeGeotectonica,1,27,0
I-ambienteSedimentacao,4,91,6
I-baciaSedimentar,20,444,48
I-bentonico,2,6,0
I-campoPetrolifero,0,6,0
I-constituinteRochaSedimentar,1,21,1
I-contextoGeologicoDeBacia,3,360,18
I-epoca,22,132,17
I-era,3,8,0
I-estratigrafia,0,25,10
I-estruturaGeologica,28,112,6
I-estruturaSedimentar,5,80,11
I-fosseis,0,52,2
I-granulometria,0,9,7
I-idade,0,15,3
I-magmaticas,10,4,8
I-metamorficas,17,32,8
I-mineral,0,2,0
I-periodo,0,9,0
I-planctonico,1,9,0
I-procedimentoMetodologico,0,7,0
I-sedimentaresCarbonaticas,4,83,10
I-sedimentaresQuimicas,0,9,0
I-sedimentaresSiliciclasticas,4,184,86
I-sistemaPetrolifero,29,21,0
I-unidadeEstratigrafica,43,682,181
I-unidadeGeotectonica,1,30,0
O,28886,110455,15140
