label,test,train,val
B-ambienteSedimentacao,0.00013166556945358788,0.0010871746838830535,0.0007270083605961468
B-baciaSedimentar,0.001250822909809085,0.003897103097611561,0.0028474494123349086
B-bentonico,6.583278472679394e-05,0.0002090720545928949,0.0
B-campoPetrolifero,3.291639236339697e-05,4.181441091857898e-05,0.0
B-constituinteRochaSedimentar,3.291639236339697e-05,0.000819562454004148,0.0007875923906458257
B-contextoGeologicoDeBacia,0.0006912442396313364,0.004917374724024888,0.0030897855325336242
B-elementoQuimico,6.583278472679394e-05,0.0001839834080417475,0.00012116806009935781
B-eon,0.004410796576695194,0.0009617314511273166,0.00042408821034775233
B-epoca,0.0032916392363396972,0.004499230614839098,0.0029080334423845873
B-era,0.005694535878867676,0.0019401886666220646,0.0005452562704471102
B-estratigrafia,0.0003291639236339697,0.0015889476149060012,0.0028474494123349086
B-estruturaGeologica,0.0004937458854509546,0.00048504716665551616,0.00030292015024839454
B-estruturaSedimentar,9.874917709019091e-05,0.0005937646350438216,0.0006058403004967891
B-fosseis,6.583278472679394e-05,0.0010286345085970428,0.00042408821034775233
B-geomorfologia,0.00029624753127057275,0.000326152405164916,0.0003635041802980734
B-granulometria,6.583278472679394e-05,0.0005435873419415267,0.003756209863080092
B-idade,0.0027978933508887426,0.005753662942396468,0.0013934326911426147
B-magmaticas,0.004081632653061225,0.002960460293035392,0.00605840300496789
B-metamorficas,0.002139565503620803,0.002216163778684686,0.0028474494123349086
B-mineral,0.0017445687952600394,0.0007944738074530006,0.00387737792317945
B-periodo,0.008196181698485846,0.0035793135746303604,0.002059857021689083
B-planctonico,0.00013166556945358788,0.0008948283936575901,0.0
B-procedimentoMetodologico,0.001250822909809085,0.0009617314511273166,0.0007875923906458257
B-sedimentaresCarbonaticas,0.0005266622778143515,0.0025172275372984543,0.0023021931418877985
B-sedimentaresOrganicas,0.00013166556945358788,0.00014216899712316854,6.0584030049678906e-05
B-sedimentaresQuimicas,0.0,9.199170402087375e-05,6.0584030049678906e-05
B-sedimentaresSiliciclasticas,0.0014483212639894668,0.007509868200976785,0.009451108687749909
B-sistemaPetrolifero,0.0020408163265306124,0.0002508864655114739,6.0584030049678906e-05
B-unidadeEstratigrafica,0.001152073732718894,0.004909011841841172,0.008481764206955046
B-unidadeGeotectonica,3.291639236339697e-05,0.0002257978189603265,0.0
I-ambienteSedimentacao,0.00013166556945358788,0.0007610222787181374,0.0003635041802980734
I-baciaSedimentar,0.0006583278472679394,0.0037131196895698135,0.0029080334423845873
I-bentonico,6.583278472679394e-05,5.017729310229477e-05,0.0
I-campoPetrolifero,0.0,5.017729310229477e-05,0.0
I-constituinteRochaSedimentar,3.291639236339697e-05,0.0001756205258580317,6.0584030049678906e-05
I-contextoGeologicoDeBacia,9.874917709019091e-05,0.0030106375861376866,0.0010905125408942203
I-epoca,0.0007241606319947334,0.001103900448250485,0.0010299285108445414
I-era,9.874917709019091e-05,6.690305746972637e-05,0.0
I-estratigrafia,0.0,0.0002090720545928949,0.0006058403004967891
I-estruturaGeologica,0.0009216589861751152,0.0009366428045761692,0.0003635041802980734
I-estruturaSedimentar,0.00016458196181698485,0.0006690305746972637,0.0006664243305464679
I-fosseis,0.0,0.0004348698735532214,0.00012116806009935781
I-granulometria,0.0,7.526593965344216e-05,0.00042408821034775233
I-idade,0.0,0.00012544323275573695,0.0001817520901490367
I-magmaticas,0.0003291639236339697,3.3451528734863186e-05,0.00048467224039743125
I-metamorficas,0.0005595786701777485,0.0002676122298789055,0.00048467224039743125
I-mineral,0.0,1.6725764367431593e-05,0.0
I-periodo,0.0,7.526593965344216e-05,0.0
I-planctonico,3.291639236339697e-05,7.526593965344216e-05,0.0
I-procedimentoMetodologico,0.0,5.854017528601057e-05,0.0
I-sedimentaresCarbonaticas,0.00013166556945358788,0.0006941192212484111,0.0006058403004967891
I-sedimentaresQuimicas,0.0,7.526593965344216e-05,0.0
I-sedimentaresSiliciclasticas,0.00013166556945358788,0.0015387703218037064,0.005210226584272386
I-sistemaPetrolifero,0.0009545753785385122,0.0001756205258580317,0.0
I-unidadeEstratigrafica,0.0014154048716260698,0.005703485649294173,0.010965709438991882
I-unidadeGeotectonica,3.291639236339697e-05,0.0002508864655114739,0.0
O,0.9508229098090849,0.9237221516023282,0.9172422149521386
