split,label,count,prop
train,B-ambienteSedimentacao,112,0.0008431957117475231
train,I-sedimentaresCarbonaticas,77,0.0005796970518264222
train,B-sedimentaresQuimicas,10,7.528533140602885e-05
train,B-sedimentaresCarbonaticas,293,0.0022058602101966453
train,B-era,323,0.0024317162044147317
train,B-estruturaSedimentar,72,0.0005420543861234077
train,I-estratigrafia,30,0.00022585599421808656
train,I-metamorficas,41,0.00030866985876471827
train,I-sistemaPetrolifero,37,0.0002785557262023067
train,B-epoca,546,0.004110579094769175
train,B-planctonico,84,0.0006323967838106423
train,B-magmaticas,476,0.003583581774926973
train,I-estruturaSedimentar,83,0.0006248682506700394
train,I-unidadeGeotectonica,22,0.00016562772909326347
train,B-campoPetrolifero,4,3.0114132562411538e-05
train,I-campoPetrolifero,4,3.0114132562411538e-05
train,I-sedimentaresSiliciclasticas,229,0.0017240340891980606
train,I-sedimentaresQuimicas,7,5.26997319842202e-05
train,B-elementoQuimico,24,0.00018068479537446924
train,I-mineral,2,1.5057066281205769e-05
train,I-procedimentoMetodologico,6,4.517119884361731e-05
train,I-baciaSedimentar,393,0.002958713524256934
train,I-estruturaGeologica,131,0.000986237841418978
train,B-baciaSedimentar,439,0.0033050260487246666
train,B-contextoGeologicoDeBacia,519,0.003907308699972897
train,O,123253,0.9279142951787274
train,B-eon,187,0.0014078356972927395
train,I-bentonico,8,6.0228265124823076e-05
train,B-procedimentoMetodologico,135,0.0010163519739813894
train,B-granulometria,97,0.0007302677146384798
train,I-granulometria,10,7.528533140602885e-05
train,I-constituinteRochaSedimentar,22,0.00016562772909326347
train,B-sedimentaresOrganicas,19,0.00014304212967145482
train,I-periodo,7,5.26997319842202e-05
train,B-fosseis,113,0.000850724244888126
train,I-idade,13,9.787093082783751e-05
train,B-sedimentaresSiliciclasticas,864,0.006504652633480892
train,B-metamorficas,302,0.0022736170084620712
train,B-geomorfologia,48,0.0003613695907489385
train,B-unidadeEstratigrafica,615,0.004630047881470774
train,I-unidadeEstratigrafica,748,0.005631342789170958
train,B-sistemaPetrolifero,66,0.0004968831872797904
train,B-constituinteRochaSedimentar,88,0.0006625109163730539
train,B-idade,615,0.004630047881470774
train,B-bentonico,23,0.00017315626223386634
train,I-ambienteSedimentacao,78,0.000587225584967025
train,B-unidadeGeotectonica,21,0.00015809919595266057
train,I-magmaticas,19,0.00014304212967145482
train,B-estruturaGeologica,67,0.0005044117204203933
train,I-fosseis,48,0.0003613695907489385
train,I-era,10,7.528533140602885e-05
train,B-mineral,175,0.0013174932996055048
train,I-epoca,127,0.0009561237088565663
train,B-estratigrafia,197,0.0014831210286987684
train,B-periodo,578,0.0043514921552684676
train,I-contextoGeologicoDeBacia,304,0.002288674074743277
train,I-planctonico,7,5.26997319842202e-05
val,B-ambienteSedimentacao,12,0.000715222314936226
val,I-sedimentaresCarbonaticas,6,0.000357611157468113
val,B-sedimentaresQuimicas,2,0.00011920371915603766
val,B-sedimentaresCarbonaticas,29,0.0017284539277625463
val,B-era,44,0.0026224818214328287
val,B-estruturaSedimentar,5,0.00029800929789009417
val,I-estratigrafia,3,0.0001788055787340565
val,I-metamorficas,14,0.0008344260340922637
val,I-sistemaPetrolifero,8,0.00047681487662415065
val,B-epoca,85,0.0050661580641316005
val,B-planctonico,17,0.0010132316128263201
val,B-magmaticas,54,0.003218500417213017
val,I-estruturaSedimentar,5,0.00029800929789009417
val,I-unidadeGeotectonica,5,0.00029800929789009417
val,B-campoPetrolifero,2,0.00011920371915603766
val,I-campoPetrolifero,2,0.00011920371915603766
val,I-sedimentaresSiliciclasticas,15,0.0008940278936702826
val,I-sedimentaresQuimicas,2,0.00011920371915603766
val,B-elementoQuimico,0,0.0
val,I-mineral,0,0.0
val,I-procedimentoMetodologico,0,0.0
val,I-baciaSedimentar,51,0.0030396948384789606
val,I-estruturaGeologica,9,0.0005364167362021695
val,B-baciaSedimentar,50,0.002980092978900942
val,B-contextoGeologicoDeBacia,76,0.004529741327929431
val,O,15592,0.9293121945404696
val,B-eon,34,0.0020264632256526403
val,I-bentonico,0,0.0
val,B-procedimentoMetodologico,18,0.001072833472404339
val,B-granulometria,10,0.0005960185957801883
val,I-granulometria,2,0.00011920371915603766
val,I-constituinteRochaSedimentar,0,0.0
val,B-sedimentaresOrganicas,3,0.0001788055787340565
val,I-periodo,0,0.0
val,B-fosseis,11,0.0006556204553582072
val,I-idade,4,0.00023840743831207532
val,B-sedimentaresSiliciclasticas,88,0.0052449636428656575
val,B-metamorficas,39,0.0023244725235427345
val,B-geomorfologia,4,0.00023840743831207532
val,B-unidadeEstratigrafica,67,0.003993324591727262
val,I-unidadeEstratigrafica,75,0.004470139468351413
val,B-sistemaPetrolifero,16,0.0009536297532483013
val,B-constituinteRochaSedimentar,8,0.00047681487662415065
val,B-idade,89,0.005304565502443676
val,B-bentonico,1,5.960185957801883e-05
val,I-ambienteSedimentacao,9,0.0005364167362021695
val,B-unidadeGeotectonica,5,0.00029800929789009417
val,I-magmaticas,3,0.0001788055787340565
val,B-estruturaGeologica,6,0.000357611157468113
val,I-fosseis,5,0.00029800929789009417
val,I-era,0,0.0
val,B-mineral,23,0.0013708427702944332
val,I-epoca,32,0.0019072595064966026
val,B-estratigrafia,28,0.0016688520681845274
val,B-periodo,69,0.0041125283108833
val,I-contextoGeologicoDeBacia,39,0.0023244725235427345
val,I-planctonico,2,0.00011920371915603766
test,B-ambienteSedimentacao,22,0.0013051732320835312
test,I-sedimentaresCarbonaticas,14,0.0008305647840531562
test,B-sedimentaresQuimicas,0,0.0
test,B-sedimentaresCarbonaticas,33,0.0019577598481252964
test,B-era,47,0.002788324632178453
test,B-estruturaSedimentar,7,0.0004152823920265781
test,I-estratigrafia,2,0.00011865211200759374
test,I-metamorficas,2,0.00011865211200759374
test,I-sistemaPetrolifero,5,0.00029663028001898433
test,B-epoca,55,0.003262933080208828
test,B-planctonico,10,0.0005932605600379687
test,B-magmaticas,48,0.0028476506881822496
test,I-estruturaSedimentar,8,0.00047460844803037496
test,I-unidadeGeotectonica,4,0.00023730422401518748
test,B-campoPetrolifero,0,0.0
test,I-campoPetrolifero,0,0.0
test,I-sedimentaresSiliciclasticas,30,0.001779781680113906
test,I-sedimentaresQuimicas,0,0.0
test,B-elementoQuimico,2,0.00011865211200759374
test,I-mineral,0,0.0
test,I-procedimentoMetodologico,1,5.932605600379687e-05
test,I-baciaSedimentar,68,0.004034171808258187
test,I-estruturaGeologica,6,0.0003559563360227812
test,B-baciaSedimentar,62,0.0036782154722354056
test,B-contextoGeologicoDeBacia,65,0.0038561936402467965
test,O,15636,0.9276222116753678
test,B-eon,35,0.0020764119601328905
test,I-bentonico,0,0.0
test,B-procedimentoMetodologico,13,0.0007712387280493592
test,B-granulometria,22,0.0013051732320835312
test,I-granulometria,4,0.00023730422401518748
test,I-constituinteRochaSedimentar,1,5.932605600379687e-05
test,B-sedimentaresOrganicas,0,0.0
test,I-periodo,2,0.00011865211200759374
test,B-fosseis,8,0.00047460844803037496
test,I-idade,1,5.932605600379687e-05
test,B-sedimentaresSiliciclasticas,146,0.008661604176554342
test,B-metamorficas,36,0.0021357380161366873
test,B-geomorfologia,2,0.00011865211200759374
test,B-unidadeEstratigrafica,80,0.004746084480303749
test,I-unidadeEstratigrafica,83,0.00492406264831514
test,B-sistemaPetrolifero,11,0.0006525866160417656
test,B-constituinteRochaSedimentar,16,0.0009492168960607499
test,B-idade,92,0.005457997152349312
test,B-bentonico,3,0.0001779781680113906
test,I-ambienteSedimentacao,14,0.0008305647840531562
test,B-unidadeGeotectonica,2,0.00011865211200759374
test,I-magmaticas,0,0.0
test,B-estruturaGeologica,5,0.00029663028001898433
test,I-fosseis,1,5.932605600379687e-05
test,I-era,1,5.932605600379687e-05
test,B-mineral,14,0.0008305647840531562
test,I-epoca,12,0.0007119126720455624
test,B-estratigrafia,22,0.0013051732320835312
test,B-periodo,64,0.0037968675842429997
test,I-contextoGeologicoDeBacia,38,0.002254390128144281
test,I-planctonico,1,5.932605600379687e-05
