label,test,train,val
B-ambienteSedimentacao,22,112,12
B-baciaSedimentar,62,439,50
B-bentonico,3,23,1
B-campoPetrolifero,0,4,2
B-constituinteRochaSedimentar,16,88,8
B-contextoGeologicoDeBacia,65,519,76
B-elementoQuimico,2,24,0
B-eon,35,187,34
B-epoca,55,546,85
B-era,47,323,44
B-estratigrafia,22,197,28
B-estruturaGeologica,5,67,6
B-estruturaSedimentar,7,72,5
B-fosseis,8,113,11
B-geomorfologia,2,48,4
B-granulometria,22,97,10
B-idade,92,615,89
B-magmaticas,48,476,54
B-metamorficas,36,302,39
B-mineral,14,175,23
B-periodo,64,578,69
B-planctonico,10,84,17
B-procedimentoMetodologico,13,135,18
B-sedimentaresCarbonaticas,33,293,29
B-sedimentaresOrganicas,0,19,3
B-sedimentaresQuimicas,0,10,2
B-sedimentaresSiliciclasticas,146,864,88
B-sistemaPetrolifero,11,66,16
B-unidadeEstratigrafica,80,615,67
B-unidadeGeotectonica,2,21,5
I-ambienteSedimentacao,14,78,9
I-baciaSedimentar,68,393,51
I-bentonico,0,8,0
I-campoPetrolifero,0,4,2
I-constituinteRochaSedimentar,1,22,0
I-contextoGeologicoDeBacia,38,304,39
I-epoca,12,127,32
I-era,1,10,0
I-estratigrafia,2,30,3
I-estruturaGeologica,6,131,9
I-estruturaSedimentar,8,83,5
I-fosseis,1,48,5
I-granulometria,4,10,2
I-idade,1,13,4
I-magmaticas,0,19,3
I-metamorficas,2,41,14
I-mineral,0,2,0
I-periodo,2,7,0
I-planctonico,1,7,2
I-procedimentoMetodologico,1,6,0
I-sedimentaresCarbonaticas,14,77,6
I-sedimentaresQuimicas,0,7,2
I-sedimentaresSiliciclasticas,30,229,15
I-sistemaPetrolifero,5,37,8
I-unidadeEstratigrafica,83,748,75
I-unidadeGeotectonica,4,22,5
O,15636,123253,15592
