label,test,train,val
B-ambienteSedimentacao,0.0013051732320835312,0.0008431957117475231,0.000715222314936226
B-baciaSedimentar,0.0036782154722354056,0.0033050260487246666,0.002980092978900942
B-bentonico,0.0001779781680113906,0.00017315626223386634,5.960185957801883e-05
B-campoPetrolifero,0.0,3.0114132562411538e-05,0.00011920371915603766
B-constituinteRochaSedimentar,0.0009492168960607499,0.0006625109163730539,0.00047681487662415065
B-contextoGeologicoDeBacia,0.0038561936402467965,0.003907308699972897,0.004529741327929431
B-elementoQuimico,0.00011865211200759374,0.00018068479537446924,0.0
B-eon,0.0020764119601328905,0.0014078356972927395,0.0020264632256526403
B-epoca,0.003262933080208828,0.004110579094769175,0.0050661580641316005
B-era,0.002788324632178453,0.0024317162044147317,0.0026224818214328287
B-estratigrafia,0.0013051732320835312,0.0014831210286987684,0.0016688520681845274
B-estruturaGeologica,0.00029663028001898433,0.0005044117204203933,0.000357611157468113
B-estruturaSedimentar,0.0004152823920265781,0.0005420543861234077,0.00029800929789009417
B-fosseis,0.00047460844803037496,0.000850724244888126,0.0006556204553582072
B-geomorfologia,0.00011865211200759374,0.0003613695907489385,0.00023840743831207532
B-granulometria,0.0013051732320835312,0.0007302677146384798,0.0005960185957801883
B-idade,0.005457997152349312,0.004630047881470774,0.005304565502443676
B-magmaticas,0.0028476506881822496,0.003583581774926973,0.003218500417213017
B-metamorficas,0.0021357380161366873,0.0022736170084620712,0.0023244725235427345
B-mineral,0.0008305647840531562,0.0013174932996055048,0.0013708427702944332
B-periodo,0.0037968675842429997,0.0043514921552684676,0.0041125283108833
B-planctonico,0.0005932605600379687,0.0006323967838106423,0.0010132316128263201
B-procedimentoMetodologico,0.0007712387280493592,0.0010163519739813894,0.001072833472404339
B-sedimentaresCarbonaticas,0.0019577598481252964,0.0022058602101966453,0.0017284539277625463
B-sedimentaresOrganicas,0.0,0.00014304212967145482,0.0001788055787340565
B-sedimentaresQuimicas,0.0,7.528533140602885e-05,0.00011920371915603766
B-sedimentaresSiliciclasticas,0.008661604176554342,0.006504652633480892,0.0052449636428656575
B-sistemaPetrolifero,0.0006525866160417656,0.0004968831872797904,0.0009536297532483013
B-unidadeEstratigrafica,0.004746084480303749,0.004630047881470774,0.003993324591727262
B-unidadeGeotectonica,0.00011865211200759374,0.00015809919595266057,0.00029800929789009417
I-ambienteSedimentacao,0.0008305647840531562,0.000587225584967025,0.0005364167362021695
I-baciaSedimentar,0.004034171808258187,0.002958713524256934,0.0030396948384789606
I-bentonico,0.0,6.0228265124823076e-05,0.0
I-campoPetrolifero,0.0,3.0114132562411538e-05,0.00011920371915603766
I-constituinteRochaSedimentar,5.932605600379687e-05,0.00016562772909326347,0.0
I-contextoGeologicoDeBacia,0.002254390128144281,0.002288674074743277,0.0023244725235427345
I-epoca,0.0007119126720455624,0.0009561237088565663,0.0019072595064966026
I-era,5.932605600379687e-05,7.528533140602885e-05,0.0
I-estratigrafia,0.00011865211200759374,0.00022585599421808656,0.0001788055787340565
I-estruturaGeologica,0.0003559563360227812,0.000986237841418978,0.0005364167362021695
I-estruturaSedimentar,0.00047460844803037496,0.0006248682506700394,0.00029800929789009417
I-fosseis,5.932605600379687e-05,0.0003613695907489385,0.00029800929789009417
I-granulometria,0.00023730422401518748,7.528533140602885e-05,0.00011920371915603766
I-idade,5.932605600379687e-05,9.787093082783751e-05,0.00023840743831207532
I-magmaticas,0.0,0.00014304212967145482,0.0001788055787340565
I-metamorficas,0.00011865211200759374,0.00030866985876471827,0.0008344260340922637
I-mineral,0.0,1.5057066281205769e-05,0.0
I-periodo,0.00011865211200759374,5.26997319842202e-05,0.0
I-planctonico,5.932605600379687e-05,5.26997319842202e-05,0.00011920371915603766
I-procedimentoMetodologico,5.932605600379687e-05,4.517119884361731e-05,0.0
I-sedimentaresCarbonaticas,0.0008305647840531562,0.0005796970518264222,0.000357611157468113
I-sedimentaresQuimicas,0.0,5.26997319842202e-05,0.00011920371915603766
I-sedimentaresSiliciclasticas,0.001779781680113906,0.0017240340891980606,0.0008940278936702826
I-sistemaPetrolifero,0.00029663028001898433,0.0002785557262023067,0.00047681487662415065
I-unidadeEstratigrafica,0.00492406264831514,0.005631342789170958,0.004470139468351413
I-unidadeGeotectonica,0.00023730422401518748,0.00016562772909326347,0.00029800929789009417
O,0.9276222116753678,0.9279142951787274,0.9293121945404696
