split,space,a,b,cosine_distance
standard,labels,train,val,5.28749117745253e-06
standard,labels,train,test,6.664762165820015e-06
standard,labels,val,test,1.3606981943081742e-05
standard,words,train,val,0.06767809030384331
standard,words,train,test,0.06836481989546339
standard,words,val,test,0.11466955387101152
heur_len,labels,train,val,4.8542680901597635e-06
heur_len,labels,train,test,2.431409995895528e-06
heur_len,labels,val,test,4.317865362701845e-06
heur_len,words,train,val,0.06373197292549493
heur_len,words,train,test,0.04018058575311445
heur_len,words,val,test,0.08179082414513694
heur_rare,labels,train,val,4.861818671320073e-06
heur_rare,labels,train,test,3.6748312290946217e-06
heur_rare,labels,val,test,7.83227029044209e-06
heur_rare,words,train,val,0.06807511262434507
heur_rare,words,train,test,0.046644507176151984
heur_rare,words,val,test,0.08326975173231843
adversarial,labels,train,val,7.5765705412900175e-06
adversarial,labels,train,test,0.00011813426678386474
adversarial,labels,val,test,0.00011014249834773171
adversarial,words,train,val,0.06927448702018213
adversarial,words,train,test,0.12991926211838278
adversarial,words,val,test,0.15772430349582156
loc,labels,train,val,4.435082729337125e-05
loc,labels,train,test,3.868649610638819e-05
loc,labels,val,test,4.989528471621707e-05
loc,words,train,val,0.1614274144727843
loc,words,train,test,0.10569858340530214
loc,words,val,test,0.1774687187822086
semantic,labels,train,val,7.54730420754468e-05
semantic,labels,train,test,0.00010892047741950517
semantic,labels,val,test,0.00021851542310225014
semantic,words,train,val,0.16581495752481323
semantic,words,train,test,0.31379502646808155
semantic,words,val,test,0.4137278365313851
reverse,labels,train,val,4.678471355101799e-05
reverse,labels,train,test,0.0003291743515804191
reverse,labels,val,test,0.00016610008838990886
reverse,words,train,val,0.1015043574742801
reverse,words,train,test,0.13364704690051177
reverse,words,val,test,0.135466662369506
