split,label,count,prop
train,O,0,0.0
train,B-ORGANIZACAO,0,0.0
train,I-ORGANIZACAO,0,0.0
train,B-PESSOA,0,0.0
train,I-PESSOA,0,0.0
train,B-TEMPO,0,0.0
train,I-TEMPO,0,0.0
train,B-LOCAL,0,0.0
train,I-LOCAL,0,0.0
train,B-LEGISLACAO,0,0.0
train,I-LEGISLACAO,0,0.0
train,B-JURISPRUDENCIA,0,0.0
train,I-JURISPRUDENCIA,0,0.0
train,0,187618,0.8617398493477861
train,1,2481,0.01139537020025721
train,2,4311,0.019800661399963254
train,3,1480,0.006797721844571008
train,4,2941,0.013508175638434686
train,5,1270,0.005833180231489987
train,6,1027,0.004717067793496233
train,7,509,0.0023378651478963806
train,8,689,0.0031646151019658277
train,9,1767,0.008115928715781737
train,10,10105,0.04641282381039868
train,11,991,0.0045517178026823445
train,12,2531,0.011625022965276502
val,O,0,0.0
val,B-ORGANIZACAO,0,0.0
val,I-ORGANIZACAO,0,0.0
val,B-PESSOA,0,0.0
val,I-PESSOA,0,0.0
val,B-TEMPO,0,0.0
val,I-TEMPO,0,0.0
val,B-LOCAL,0,0.0
val,I-LOCAL,0,0.0
val,B-LEGISLACAO,0,0.0
val,I-LEGISLACAO,0,0.0
val,B-JURISPRUDENCIA,0,0.0
val,I-JURISPRUDENCIA,0,0.0
val,0,26131,0.8526724531749658
val,1,360,0.01174704692292632
val,2,621,0.020263655942047903
val,3,221,0.007211381583240879
val,4,475,0.015499575801083338
val,5,206,0.0067219212947856165
val,6,183,0.0059714155191542126
val,7,143,0.00466618808327351
val,8,168,0.00548195523069895
val,9,248,0.008092410102460354
val,10,1427,0.04656398877504405
val,11,140,0.0045682960255824575
val,12,323,0.010539711544736671
test,O,0,0.0
test,B-ORGANIZACAO,0,0.0
test,I-ORGANIZACAO,0,0.0
test,B-PESSOA,0,0.0
test,I-PESSOA,0,0.0
test,B-TEMPO,0,0.0
test,I-TEMPO,0,0.0
test,B-LOCAL,0,0.0
test,I-LOCAL,0,0.0
test,B-LEGISLACAO,0,0.0
test,I-LEGISLACAO,0,0.0
test,B-JURISPRUDENCIA,0,0.0
test,I-JURISPRUDENCIA,0,0.0
test,0,59811,0.8580343437531381
test,1,621,0.008908717919290746
test,2,1252,0.017960893454029007
test,3,367,0.005264894486923838
test,4,757,0.010859741489376963
test,5,284,0.004074196278709455
test,6,176,0.002524854031876282
test,7,115,0.0016497625776464343
test,8,169,0.0024244337010630207
test,9,680,0.00975511785043109
test,10,4090,0.05867416471803406
test,11,365,0.005236202963834335
test,12,1020,0.014632676775646634
