label,test,train,val
0,0.8580343437531381,0.8617398493477861,0.8526724531749658
1,0.008908717919290746,0.01139537020025721,0.01174704692292632
2,0.017960893454029007,0.019800661399963254,0.020263655942047903
3,0.005264894486923838,0.006797721844571008,0.007211381583240879
4,0.010859741489376963,0.013508175638434686,0.015499575801083338
5,0.004074196278709455,0.005833180231489987,0.0067219212947856165
6,0.002524854031876282,0.004717067793496233,0.0059714155191542126
7,0.0016497625776464343,0.0023378651478963806,0.00466618808327351
8,0.0024244337010630207,0.0031646151019658277,0.00548195523069895
9,0.00975511785043109,0.008115928715781737,0.008092410102460354
10,0.05867416471803406,0.04641282381039868,0.04656398877504405
11,0.005236202963834335,0.0045517178026823445,0.0045682960255824575
12,0.014632676775646634,0.011625022965276502,0.010539711544736671
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
