split,label,count,prop
train,O,0,0.0
train,B-ORGANIZACAO,0,0.0
train,I-ORGANIZACAO,0,0.0
train,B-PESSOA,0,0.0
train,I-PESSOA,0,0.0
train,B-TEMPO,0,0.0
train,I-TEMPO,0,0.0
train,B-LOCAL,0,0.0
train,I-LOCAL,0,0.0
train,B-LEGISLACAO,0,0.0
train,I-LEGISLACAO,0,0.0
train,B-JURISPRUDENCIA,0,0.0
train,I-JURISPRUDENCIA,0,0.0
train,0,192094,0.8631614894831204
train,1,2351,0.010564060625395983
train,2,4175,0.01876008213995246
train,3,1425,0.006403141808247246
train,4,2867,0.012882671974908671
train,5,1203,0.005405599716015044
train,6,954,0.0042867349368897354
train,7,505,0.0022691835881858665
train,8,669,0.0030061065752402865
train,9,1851,0.008317344201449582
train,10,10686,0.04801682341258251
train,11,1038,0.004664183296112731
train,12,2729,0.012262578241899464
val,O,0,0.0
val,B-ORGANIZACAO,0,0.0
val,I-ORGANIZACAO,0,0.0
val,B-PESSOA,0,0.0
val,I-PESSOA,0,0.0
val,B-TEMPO,0,0.0
val,I-TEMPO,0,0.0
val,B-LOCAL,0,0.0
val,I-LOCAL,0,0.0
val,B-LEGISLACAO,0,0.0
val,I-LEGISLACAO,0,0.0
val,B-JURISPRUDENCIA,0,0.0
val,I-JURISPRUDENCIA,0,0.0
val,0,25929,0.8580363347562792
val,1,335,0.011085740759125053
val,2,593,0.01962341573182435
val,3,179,0.0059234256593533865
val,4,352,0.011648300737946326
val,5,170,0.005625599788212714
val,6,150,0.004963764519011218
val,7,60,0.0019855058076044874
val,8,96,0.0031768092921671794
val,9,264,0.008736225553459744
val,10,1588,0.05254972037459876
val,11,138,0.004566663357490321
val,12,365,0.012078493662927297
test,O,0,0.0
test,B-ORGANIZACAO,0,0.0
test,I-ORGANIZACAO,0,0.0
test,B-PESSOA,0,0.0
test,I-PESSOA,0,0.0
test,B-TEMPO,0,0.0
test,I-TEMPO,0,0.0
test,B-LOCAL,0,0.0
test,I-LOCAL,0,0.0
test,B-LEGISLACAO,0,0.0
test,I-LEGISLACAO,0,0.0
test,B-JURISPRUDENCIA,0,0.0
test,I-JURISPRUDENCIA,0,0.0
test,0,55537,0.8503988852649792
test,1,776,0.011882340331051802
test,2,1416,0.02168220864532133
test,3,464,0.007104904527845407
test,4,954,0.014607928705958013
test,5,387,0.005925857871284855
test,6,282,0.004318066975975011
test,7,202,0.0030930834366913193
test,8,261,0.003996508796913042
test,9,580,0.008881130659806759
test,10,3348,0.05126556111902246
test,11,320,0.004899934157134763
test,12,780,0.011943589508015986
