label,test,train,val
0,0.8503988852649792,0.8631614894831204,0.8580363347562792
1,0.011882340331051802,0.010564060625395983,0.011085740759125053
2,0.02168220864532133,0.01876008213995246,0.01962341573182435
3,0.007104904527845407,0.006403141808247246,0.0059234256593533865
4,0.014607928705958013,0.012882671974908671,0.011648300737946326
5,0.005925857871284855,0.005405599716015044,0.005625599788212714
6,0.004318066975975011,0.0042867349368897354,0.004963764519011218
7,0.0030930834366913193,0.0022691835881858665,0.0019855058076044874
8,0.003996508796913042,0.0030061065752402865,0.0031768092921671794
9,0.008881130659806759,0.008317344201449582,0.008736225553459744
10,0.05126556111902246,0.04801682341258251,0.05254972037459876
11,0.004899934157134763,0.004664183296112731,0.004566663357490321
12,0.011943589508015986,0.012262578241899464,0.012078493662927297
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
