label,test,train,val
0,0.8648020146814552,0.8584126693052563,0.8558067578495834
1,0.010995016878315384,0.010635859349928941,0.012235856685770543
2,0.01950383110968226,0.019010070447286784,0.02222144087760627
3,0.006451267213202594,0.00637744056806084,0.007524348651594529
4,0.013706263730375609,0.012469628203364965,0.015681586442108222
5,0.006569147511118255,0.005022489137466444,0.005660841742554762
6,0.004254407115683438,0.004288981596092035,0.005168594634506522
7,0.002036114236725071,0.0025774639995517455,0.0024963960479589325
8,0.002861276322134705,0.003417941390709923,0.003094124679160367
9,0.007254996517173016,0.009107718638732254,0.008086916775078232
10,0.044376573969886944,0.05180906391193835,0.04606026511022819
11,0.005272464234045974,0.004426514260099736,0.004746668541893745
12,0.011916626480201468,0.012444159191511688,0.01121620196195633
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
