split,label,count,prop
train,O,0,0.0
train,B-ORGANIZACAO,0,0.0
train,I-ORGANIZACAO,0,0.0
train,B-PESSOA,0,0.0
train,I-PESSOA,0,0.0
train,B-TEMPO,0,0.0
train,I-TEMPO,0,0.0
train,B-LOCAL,0,0.0
train,I-LOCAL,0,0.0
train,B-LEGISLACAO,0,0.0
train,I-LEGISLACAO,0,0.0
train,B-JURISPRUDENCIA,0,0.0
train,I-JURISPRUDENCIA,0,0.0
train,0,245986,0.8514572516441675
train,1,3292,0.011394946348217376
train,2,6060,0.020976116303219106
train,3,1956,0.006770508826583593
train,4,3959,0.013703703703703704
train,5,1651,0.005714780200761509
train,6,1352,0.004679820006922811
train,7,694,0.002402215299411561
train,8,970,0.003357563170647283
train,9,2610,0.009034267912772585
train,10,15302,0.052966424368293526
train,11,1401,0.004849428868120457
train,12,3667,0.012692973347178955
val,O,0,0.0
val,B-ORGANIZACAO,0,0.0
val,I-ORGANIZACAO,0,0.0
val,B-PESSOA,0,0.0
val,I-PESSOA,0,0.0
val,B-TEMPO,0,0.0
val,I-TEMPO,0,0.0
val,B-LOCAL,0,0.0
val,I-LOCAL,0,0.0
val,B-LEGISLACAO,0,0.0
val,I-LEGISLACAO,0,0.0
val,B-JURISPRUDENCIA,0,0.0
val,I-JURISPRUDENCIA,0,0.0
val,0,9236,0.9458269329237071
val,1,61,0.006246799795186892
val,2,60,0.006144393241167435
val,3,30,0.0030721966205837174
val,4,43,0.0044034818228366615
val,5,29,0.00296979006656426
val,6,6,0.0006144393241167435
val,7,6,0.0006144393241167435
val,8,5,0.0005120327700972862
val,9,35,0.0035842293906810036
val,10,128,0.013108038914490527
val,11,33,0.003379416282642089
val,12,93,0.009523809523809525
test,O,0,0.0
test,B-ORGANIZACAO,0,0.0
test,I-ORGANIZACAO,0,0.0
test,B-PESSOA,0,0.0
test,I-PESSOA,0,0.0
test,B-TEMPO,0,0.0
test,I-TEMPO,0,0.0
test,B-LOCAL,0,0.0
test,I-LOCAL,0,0.0
test,B-LEGISLACAO,0,0.0
test,I-LEGISLACAO,0,0.0
test,B-JURISPRUDENCIA,0,0.0
test,I-JURISPRUDENCIA,0,0.0
test,0,18338,0.9448680956306678
test,1,109,0.005616240725474031
test,2,64,0.0032976092333058533
test,3,82,0.004225061830173124
test,4,171,0.008810799670239077
test,5,80,0.004122011541632316
test,6,28,0.0014427040395713108
test,7,67,0.0034521846661170652
test,8,51,0.0026277823577906018
test,9,50,0.002576257213520198
test,10,192,0.00989282769991756
test,11,62,0.0031945589447650454
test,12,114,0.005873866446826051
