label,test,train,val
0,0.9448680956306678,0.8514572516441675,0.9458269329237071
1,0.005616240725474031,0.011394946348217376,0.006246799795186892
2,0.0032976092333058533,0.020976116303219106,0.006144393241167435
3,0.004225061830173124,0.006770508826583593,0.0030721966205837174
4,0.008810799670239077,0.013703703703703704,0.0044034818228366615
5,0.004122011541632316,0.005714780200761509,0.00296979006656426
6,0.0014427040395713108,0.004679820006922811,0.0006144393241167435
7,0.0034521846661170652,0.002402215299411561,0.0006144393241167435
8,0.0026277823577906018,0.003357563170647283,0.0005120327700972862
9,0.002576257213520198,0.009034267912772585,0.0035842293906810036
10,0.00989282769991756,0.052966424368293526,0.013108038914490527
11,0.0031945589447650454,0.004849428868120457,0.003379416282642089
12,0.005873866446826051,0.012692973347178955,0.009523809523809525
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
