label,test,train,val
0,0.7555257870060281,0.9549912177985949,0.8231289701835337
1,0.014902880107166777,0.006859431552054503,0.013470173187940988
2,0.031513730743469526,0.008329784969129232,0.024167683999255105
3,0.012659075686537173,0.0012973706621247606,0.007469635208673881
4,0.02725217682518419,0.0017298275494996808,0.013615013759854331
5,0.011202277294038847,0.0010312433468171174,0.005524633242980405
6,0.009988278633623577,0.00037923142431339155,0.0028140453971735395
7,0.005927662424648359,0.00015302320630189483,0.0007448943698400546
8,0.008004018754186203,0.00017963593783265914,0.0008897349417533986
9,0.011302746148693905,0.004863476687247179,0.012704587307827598
10,0.08093603482920295,0.017218437300404513,0.06966831509031844
11,0.008146349631614199,0.0011909197360017033,0.0071178795340271885
12,0.022638981915606163,0.0017763998296785183,0.01868443377682137
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
