split,label,count,prop
train,O,0,0.0
train,B-ORGANIZACAO,0,0.0
train,I-ORGANIZACAO,0,0.0
train,B-PESSOA,0,0.0
train,I-PESSOA,0,0.0
train,B-TEMPO,0,0.0
train,I-TEMPO,0,0.0
train,B-LOCAL,0,0.0
train,I-LOCAL,0,0.0
train,B-LEGISLACAO,0,0.0
train,I-LEGISLACAO,0,0.0
train,B-JURISPRUDENCIA,0,0.0
train,I-JURISPRUDENCIA,0,0.0
train,0,213512,0.8529494011712914
train,1,2657,0.010614328744576984
train,2,4893,0.01954682369108588
train,3,1833,0.00732256853173113
train,4,3769,0.015056607090067993
train,5,1433,0.0057246266808350845
train,6,1066,0.004258515032637963
train,7,657,0.002624619490096755
train,8,943,0.0037671479134874283
train,9,2112,0.008437132972731123
train,10,13140,0.05249238980193511
train,11,1225,0.004893696918369141
train,12,3082,0.012312141961154034
val,O,0,0.0
val,B-ORGANIZACAO,0,0.0
val,I-ORGANIZACAO,0,0.0
val,B-PESSOA,0,0.0
val,I-PESSOA,0,0.0
val,B-TEMPO,0,0.0
val,I-TEMPO,0,0.0
val,B-LOCAL,0,0.0
val,I-LOCAL,0,0.0
val,B-LEGISLACAO,0,0.0
val,I-LEGISLACAO,0,0.0
val,B-JURISPRUDENCIA,0,0.0
val,I-JURISPRUDENCIA,0,0.0
val,0,39037,0.9067196246486888
val,1,384,0.008919239077416208
val,2,524,0.012171044991057534
val,3,135,0.0031356699881541356
val,4,184,0.0042738020579286
val,5,86,0.0019975379183796715
val,6,37,0.0008594058486052075
val,7,34,0.0007897242933128934
val,8,33,0.0007664971082154554
val,9,321,0.007455926416277611
val,10,1632,0.03790676607901888
val,11,145,0.003367941839128516
val,12,501,0.011636819733816459
test,O,0,0.0
test,B-ORGANIZACAO,0,0.0
test,I-ORGANIZACAO,0,0.0
test,B-PESSOA,0,0.0
test,I-PESSOA,0,0.0
test,B-TEMPO,0,0.0
test,I-TEMPO,0,0.0
test,B-LOCAL,0,0.0
test,I-LOCAL,0,0.0
test,B-LEGISLACAO,0,0.0
test,I-LEGISLACAO,0,0.0
test,B-JURISPRUDENCIA,0,0.0
test,I-JURISPRUDENCIA,0,0.0
test,0,21011,0.8507166572192081
test,1,421,0.01704591464895943
test,2,767,0.031055146165681433
test,3,100,0.004048910842983237
test,4,220,0.008907603854563122
test,5,241,0.009757875131589603
test,6,283,0.011458417685642562
test,7,76,0.0030771722406672604
test,8,50,0.0020244554214916186
test,9,262,0.010608146408616083
test,10,850,0.03441574216535752
test,11,126,0.005101627662158879
test,12,291,0.01178233055308122
