label,test,train,val
0,0.8507166572192081,0.8529494011712914,0.9067196246486888
1,0.01704591464895943,0.010614328744576984,0.008919239077416208
2,0.031055146165681433,0.01954682369108588,0.012171044991057534
3,0.004048910842983237,0.00732256853173113,0.0031356699881541356
4,0.008907603854563122,0.015056607090067993,0.0042738020579286
5,0.009757875131589603,0.0057246266808350845,0.0019975379183796715
6,0.011458417685642562,0.004258515032637963,0.0008594058486052075
7,0.0030771722406672604,0.002624619490096755,0.0007897242933128934
8,0.0020244554214916186,0.0037671479134874283,0.0007664971082154554
9,0.010608146408616083,0.008437132972731123,0.007455926416277611
10,0.03441574216535752,0.05249238980193511,0.03790676607901888
11,0.005101627662158879,0.004893696918369141,0.003367941839128516
12,0.01178233055308122,0.012312141961154034,0.011636819733816459
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
