split,label,count,prop
train,O,0,0.0
train,B-ORGANIZACAO,0,0.0
train,I-ORGANIZACAO,0,0.0
train,B-PESSOA,0,0.0
train,I-PESSOA,0,0.0
train,B-TEMPO,0,0.0
train,I-TEMPO,0,0.0
train,B-LOCAL,0,0.0
train,I-LOCAL,0,0.0
train,B-LEGISLACAO,0,0.0
train,I-LEGISLACAO,0,0.0
train,B-JURISPRUDENCIA,0,0.0
train,I-JURISPRUDENCIA,0,0.0
train,0,219085,0.8623254861983052
train,1,2691,0.010591861073828144
train,2,4770,0.018774870799762262
train,3,1591,0.0062622262982016275
train,4,3187,0.012544132754474285
train,5,1379,0.005427787595989971
train,6,1120,0.004408355407910636
train,7,573,0.002255346114939995
train,8,753,0.002963831805497062
train,9,2143,0.008434915749243299
train,10,12438,0.0489563612174933
train,11,1190,0.004683877620905051
train,12,3143,0.012370947363449224
val,O,0,0.0
val,B-ORGANIZACAO,0,0.0
val,I-ORGANIZACAO,0,0.0
val,B-PESSOA,0,0.0
val,I-PESSOA,0,0.0
val,B-TEMPO,0,0.0
val,I-TEMPO,0,0.0
val,B-LOCAL,0,0.0
val,I-LOCAL,0,0.0
val,B-LEGISLACAO,0,0.0
val,I-LEGISLACAO,0,0.0
val,B-JURISPRUDENCIA,0,0.0
val,I-JURISPRUDENCIA,0,0.0
val,0,27056,0.8455528470529408
val,1,416,0.013000812550784424
val,2,776,0.024251515719732483
val,3,231,0.007219201200075005
val,4,500,0.01562597662353897
val,5,201,0.006281642602662667
val,6,132,0.0041252578286142885
val,7,81,0.0025314082130133133
val,8,146,0.00456278517407338
val,9,277,0.00865679104944059
val,10,1690,0.05281580098756172
val,11,160,0.005000312519532471
val,12,332,0.010375648478029877
test,O,0,0.0
test,B-ORGANIZACAO,0,0.0
test,I-ORGANIZACAO,0,0.0
test,B-PESSOA,0,0.0
test,I-PESSOA,0,0.0
test,B-TEMPO,0,0.0
test,I-TEMPO,0,0.0
test,B-LOCAL,0,0.0
test,I-LOCAL,0,0.0
test,B-LEGISLACAO,0,0.0
test,I-LEGISLACAO,0,0.0
test,B-JURISPRUDENCIA,0,0.0
test,I-JURISPRUDENCIA,0,0.0
test,0,27419,0.8565225540422342
test,1,355,0.01108959140322379
test,2,638,0.01993002624015994
test,3,246,0.007684618268149444
test,4,486,0.015181806822441584
test,5,180,0.0056228914157191055
test,6,134,0.004185930276146445
test,7,113,0.003529926277645883
test,8,127,0.003967262276646258
test,9,275,0.008590528551793078
test,10,1494,0.04666999875046857
test,11,146,0.004560789703861052
test,12,399,0.012464075971510684
