label,test,train,val
0,0.8565225540422342,0.8623254861983052,0.8455528470529408
1,0.01108959140322379,0.010591861073828144,0.013000812550784424
2,0.01993002624015994,0.018774870799762262,0.024251515719732483
3,0.007684618268149444,0.0062622262982016275,0.007219201200075005
4,0.015181806822441584,0.012544132754474285,0.01562597662353897
5,0.0056228914157191055,0.005427787595989971,0.006281642602662667
6,0.004185930276146445,0.004408355407910636,0.0041252578286142885
7,0.003529926277645883,0.002255346114939995,0.0025314082130133133
8,0.003967262276646258,0.002963831805497062,0.00456278517407338
9,0.008590528551793078,0.008434915749243299,0.00865679104944059
10,0.04666999875046857,0.0489563612174933,0.05281580098756172
11,0.004560789703861052,0.004683877620905051,0.005000312519532471
12,0.012464075971510684,0.012370947363449224,0.010375648478029877
B-JURISPRUDENCIA,0.0,0.0,0.0
B-LEGISLACAO,0.0,0.0,0.0
B-LOCAL,0.0,0.0,0.0
B-ORGANIZACAO,0.0,0.0,0.0
B-PESSOA,0.0,0.0,0.0
B-TEMPO,0.0,0.0,0.0
I-JURISPRUDENCIA,0.0,0.0,0.0
I-LEGISLACAO,0.0,0.0,0.0
I-LOCAL,0.0,0.0,0.0
I-ORGANIZACAO,0.0,0.0,0.0
I-PESSOA,0.0,0.0,0.0
I-TEMPO,0.0,0.0,0.0
O,0.0,0.0,0.0
