split,space,a,b,cosine_distance
standard,labels,train,val,5.792992696296295e-05
standard,labels,train,test,1.2372840298313648e-05
standard,labels,val,test,5.340335583148281e-05
standard,words,train,val,0.049936187344690186
standard,words,train,test,0.044608274138147275
standard,words,val,test,0.08144940742080864
heur_len,labels,train,val,1.815115907288778e-05
heur_len,labels,train,test,2.408355915317628e-05
heur_len,labels,val,test,1.3767811325005042e-05
heur_len,words,train,val,0.04950217996379569
heur_len,words,train,test,0.027555515996563917
heur_len,words,val,test,0.06334468613479938
heur_rare,labels,train,val,4.100356391512072e-05
heur_rare,labels,train,test,4.667248840306559e-05
heur_rare,labels,val,test,1.6311181569861333e-05
heur_rare,words,train,val,0.04467338355391026
heur_rare,words,train,test,0.06234525830151649
heur_rare,words,val,test,0.09467445877551761
adversarial,labels,train,val,2.9979938291124775e-05
adversarial,labels,train,test,0.00013480714651037395
adversarial,labels,val,test,0.00026057410521285185
adversarial,words,train,val,0.0481611730747018
adversarial,words,train,test,0.13796415072009782
adversarial,words,val,test,0.16419187982567351
loc,labels,train,val,0.0014887309186576436
loc,labels,train,test,0.0016935987976994804
loc,labels,val,test,3.8268991024215104e-05
loc,words,train,val,0.37888460941413127
loc,words,train,test,0.3691098581340767
loc,words,val,test,0.332687318159577
semantic,labels,train,val,0.00029500596002540735
semantic,labels,train,test,0.0003872231181135666
semantic,labels,val,test,0.0005198302532344323
semantic,words,train,val,0.2005514672239086
semantic,words,train,test,0.4476110050002776
semantic,words,val,test,0.5718824679852046
reverse,labels,train,val,0.00290608835392947
reverse,labels,train,test,0.005960963840831446
reverse,labels,val,test,0.0007176613371867591
reverse,words,train,val,0.15760381351816166
reverse,words,train,test,0.21428289685735025
reverse,words,val,test,0.07528823006476615
