split,label,precision,recall,f1,support
loc,LOC,0.9679054054054054,0.9491993373826615,0.9584611095623083,1811
loc,MISC,0.8671655753040225,0.8720602069614299,0.8696060037523452,1063
loc,ORG,0.8910569105691057,0.9298642533936652,0.9100470523110988,1768
loc,PER,0.9810473815461347,0.9732805541810985,0.9771485345255837,2021
reverse,LOC,0.8799869195552649,0.9112766677954622,0.8953585093994344,2953
reverse,MISC,0.9241736876215165,0.7295983627526221,0.8154395997140814,3909
reverse,ORG,0.7232789855072463,0.8987056837366347,0.8015056461731492,1777
reverse,PER,0.9599411980889379,0.9871504157218443,0.9733556921930314,2646
semantic,LOC,0.9675028506271379,0.9866279069767442,0.9769717904432931,1720
semantic,MISC,0.8459343794579173,0.8201936376210235,0.8328651685393258,723
semantic,ORG,0.979539641943734,0.9730691056910569,0.9762936528167219,1968
semantic,PER,0.9283582089552239,0.9688473520249221,0.9481707317073171,321
heur_len,LOC,0.967979002624672,0.9761778718898888,0.9720611491829204,1889
heur_len,MISC,0.9012567324955116,0.9061371841155235,0.9036903690369037,1108
heur_len,ORG,0.9612612612612612,0.9560931899641577,0.9586702605570531,2232
heur_len,PER,0.9855289421157685,0.9894789579158316,0.9875,1996
heur_rare,LOC,0.9645580978017048,0.9623992837958818,0.9634774815146762,2234
heur_rare,MISC,0.8969072164948454,0.8907849829351536,0.8938356164383562,1465
heur_rare,ORG,0.909692671394799,0.9267822736030829,0.9181579575280362,2076
heur_rare,PER,0.9795493934142114,0.983983286908078,0.9817613340281397,2872
std,LOC,0.9301187980433263,0.9419674451521586,0.9360056258790436,1413
std,MISC,0.8383594692400482,0.8559113300492611,0.8470444850700792,812
std,ORG,0.894681960375391,0.8988999476165531,0.8967859942513717,1909
std,PER,0.9667519181585678,0.950345694531741,0.9584786053882726,1591
std,LOC,0.9301187980433263,0.9419674451521586,0.9360056258790436,1413
std,MISC,0.8383594692400482,0.8559113300492611,0.8470444850700792,812
std,ORG,0.894681960375391,0.8988999476165531,0.8967859942513717,1909
std,PER,0.9667519181585678,0.950345694531741,0.9584786053882726,1591
